Nama,Latitude,Longitude
MAGNET by SHIBUYA109 B2F,35.659815,139.700941
東京基地 渋谷店,35.660335,139.698347
渋谷モディB1F ATM横,35.661641,139.700487
VILLA TOKYO,35.663953,139.730534
カンコーショップ 原宿セレクトスクエア,35.6666318,139.7057456
YMスクウェア原宿 B1F,35.6690682,139.7061419
one'R,35.6645315,139.7299002
AS ONE ROPPONGI,35.6646038,139.7297963
shibuya109 8F,35.659475,139.69872
ASIAN nail ミッドタウン前店 7F,35.6651999,139.7295315
BAN×KARA ZONE-R,35.664072,139.731001
フットサルスタジオライズ豊洲,35.6400364,139.8033126
フットサルスタジオライズ豊洲（ABコート）,35.6399005,139.8030863
QBNail,35.608311,139.669075
ハンズ 渋谷店 1B,35.661957,139.698058
ハンズ 渋谷店 7A,35.661951,139.698
ハンズ 渋谷店 B2C,35.661958,139.698018
カスミ 筑波大学店,36.0992722,140.1040429
ローソン 恵比寿プライムスクエア店,35.6501692,139.7126492
ローソン 都営東新宿駅前店,35.6976408,139.7071956
ローソン 東新宿明治通店,35.6991164,139.7080478
ローソン 渋谷道玄坂上店,35.6564453,139.6952325
ローソン 渋谷桜丘町南店,35.6552097,139.7013508
ローソン 代々木西参道店,35.6820022,139.6928892
ローソン JEBL秋葉原スクエア店,35.7013739,139.7746636
東京スクエアガーデン 1F柳通り側入り口,35.676098,139.768672
東京スクエアガーデン B1F中央,35.675982,139.768871
東京スクエアガーデン 2F,35.676254,139.768701
東京スクエアガーデン B1Fエスカレーター下,35.675756,139.768881
東京スクエアガーデン1F中央通り側入り口,35.675826,139.769005
伊勢丹 新宿本店 B1F インフォメーション横,35.6916376,139.7046
有楽町マルイ,35.6742637,139.7637618
TSUTAYA はまりん横浜駅店,35.465547,139.619916
TSUTAYA 馬事公苑店,35.639724,139.631881
TSUTAYA 高階店,35.882515,139.494582
TSUTAYA QLuRi 川越店,35.9141025,139.4635527
TSUTAYA JR東所沢駅前店,35.796125,139.512782
TSUTAYA 坂戸八幡店,35.958155,139.403163
TSUTAYA 南古谷店,35.906304,139.512653
TSUTAYA 伊奈店,36.010172,139.612028
TSUTAYA 二十世紀が丘店,35.763894,139.912851
TSUTAYA 流山店,35.911016,139.905016
TSUTAYA 流山おおたかの森駅前店,35.8721,139.925399
TSUTAYA 西五反田店（レンタル館）,35.624652,139.720861
TSUTAYA 浜田山店,35.685123,139.625288
TSUTAYA JR板橋駅前店,35.746825,139.720579
TSUTAYA 金町店,35.770749,139.871861
戸塚モディ1F,35.401474,139.5346
柏モディ 1F 上りエスカレーター近く,35.860447,139.970592
静岡モディ1F エポスカードセンター隣,34.97379,138.38701
WEGO 1.3.5... 原宿竹下通り店,35.670622,139.706537
ローソン 港六本木通店,35.6621331,139.7293156
タワーレコード渋谷店 1F,35.661927,139.701087
ローソン 新宿御苑中央店,35.6887183,139.7110125
IKUKO 津田沼店,35.6906062,140.0181707
ほけんの窓口 小田急百貨店町田店,35.543651,139.444985
ほけんの窓口 越谷ツインシティ店,35.889077,139.786665
ほけんの窓口 笹塚駅前店,35.673814,139.669022
ほけんの窓口 戸塚トツカーナ店,35.400479,139.533355
ほけんの窓口 曳舟駅前店,35.717791,139.818527
ほけんの窓口 カトレヤプラザ伊勢佐木店,35.444965,139.632892
ほけんの窓口 イオン大和店,35.4347934395,139.4661734662
ほけんの窓口 新横浜駅前店,35.508498,139.618443
ほけんの窓口 大宮店,35.904899,139.621752
BAR ARMAGEDDON,35.658904,139.694987
Bar OwL,35.6632863,139.7318064
清和マッサージ,35.5633287,139.712532
mozoワンダーシティ 4Fイーストコート,35.224944,136.883007
mozoワンダーシティ 1F H入口エレベーター横,35.224935,136.882992
mozoワンダーシティ2Fウエストコート,35.224804,136.883539
mozoワンダーシティ3Fウエストコート,35.224862,136.88297
mozoワンダーシティ 4Fウエストコート,35.22482,136.883233
mozoワンダーシティ 1Fインフォメーション横,35.224829,136.88305
Pasta Alba,35.6502986,139.6790676
黄金屋 渋谷店,35.658281,139.699649
黄金屋 二子玉川店,35.613512,139.626035
美神鶏,35.648856,139.708187
iPhone修理worker 新宿本店,35.6980091,139.7054823
中野マルイ 1F ATM脇,35.704756,139.665098
Bar ChefTENDER 蒲田店,35.5639814,139.7154483
Borabora 大宮,35.9093755,139.6256596
バル&デル エル・ロセヨ,35.6293695,139.6841284
南麻布クラブハウス,35.6465215,139.7264768
マークイズ福岡ももち 4F駐車場出入口,33.59304,130.3626322
マークイズ福岡ももち 2Fインフォーメーション裏,33.592262,130.363684
フロム中武1F正面入口,35.699743,139.414816
フロム中武1Fいきなりステーキ横,35.6997,139.41467
フロム中武7Fエレベータ横,35.699619,139.41488
フロム中武6Fエレベーター横,35.699603,139.414916
戸塚モディ2F,35.401549,139.534785
北千住マルイ 8F パブリックスペース,35.750553,139.804415
上野マルイ 1F 西口入口,35.711203,139.775828
上野マルイ B1F 入口,35.711224,139.77586
ナチュラルローソン 東京女子医大西病棟店,35.6982961,139.7197056
ナチュラルローソン 東京女子医大病院店,35.6984781,139.7209886
ローソン 神宮前六丁目店,35.6674075,139.7041897
鶏そば みた葉,35.694386,139.703927
携帯の王子様 武蔵小杉駅前店,35.573899,139.657969
IKUKO 府中店,35.671897,139.479468
IKUKO 横浜店,35.555029,139.579239
ほっ！と保険 アルーサ北与野店,35.891473,139.6277563
リブロ 港北東急SC店,35.544768,139.572128
よむよむ 新敷島店,35.679564,138.526205
よむよむ 鶴ヶ島脚折店,35.94841,139.387869
リブロ 花小金井店,35.7270474,139.5134467
ナチュラルローソン S東京女子医大外来棟店,35.6987447,139.7201422
イオンつがる柏店 携帯電話売場,40.8023209,140.4167919
イオン下田店 携帯電話売場,40.6020431,141.4182131
イオン盛岡店 携帯電話売場,39.711477,141.098578
イオン盛岡南店 携帯電話売場,39.6831793297,141.1275282667
イオン三好店 携帯電話売場,35.0922877,137.0795398
イオン豊川店 携帯電話売場,34.8274902,137.3844645
イオン豊橋南店 携帯電話売場,34.7095697,137.3879689
イオン岡崎南店 携帯電話売場,34.9387286,137.1643755
イオンスタイル豊田 携帯電話売場,35.0785684,137.1596902
イオン新潟南店 携帯電話売場,37.8760501,139.081239
イオン新潟青山店 携帯電話売場,37.8962826,139.0048827
イオン大曲店,39.4388047,140.5083993
イオン富谷店 携帯電話売場,38.364772828,140.8746752129
イオン石巻店 携帯電話売場,38.4478352,141.2666233
イオン上越店 携帯電話売場,37.152971,138.2585617
イオン仙台幸町店 携帯電話売場,38.2734154,140.9030852
イオン県央店 携帯電話売場,37.6506928,138.9346047
イオン新発田店 携帯電話売場,37.9427245,139.3095947
イオン仙台中山店 携帯電話売場,38.2978587,140.8271336
イオン佐久平店 携帯電話売場,36.2757764,138.4641994
イオンスタイル上田 携帯電話売場,36.3923569,138.2574499
イオンもりの里店 携帯電話売場,36.5516405,136.6899227
イオンスタイル名取 携帯電話売場,38.1638335,140.8942491
イオンスタイルかほく 携帯電話売場,36.7091024,136.7009917
イオンスタイル新小松 携帯電話売場,36.3950269,136.466994
イオン堺北花田店 携帯電話売場,34.585075,135.5149317
イオンいわき店 携帯電話売場,37.0505845,140.8985547
イオンスタイル茨木 携帯電話売場,34.8098225,135.5582434
イオンモバイル イオンモール伊丹 携帯電話売場,34.7817117,135.4235892
イオン山形南店 携帯電話売場,38.2265004,140.3063162
イオンスタイル伊丹昆陽 携帯電話売場,34.7841253398,135.3828183829
イオン猪名川店 携帯電話売場,34.902259,135.3641979
イオンタウン郡山 携帯電話売場,37.390126,140.390432
イオン鶴見緑地店 携帯電話売場,34.7047797,135.5671247
イオン野田阪神店 携帯電話売場,34.69539,135.475801
イオン喜連瓜破駅前店 携帯電話売場,34.608717,135.551911
イオンスタイル大日 携帯電話売場,34.7486883,135.5802852
イオン大阪ドームシティ店 携帯電話売場,34.6706701,135.4777591
イオン神戸北店 携帯電話売場,34.8610553,135.1949832
イオンジェームス山店 携帯電話売場,34.646289,135.0761451
イオン明石店 携帯電話売場,34.6785253711,134.9349832946
イオン淡路店 携帯電話売場,34.4260569,134.9061564
イオン洲本店 携帯電話売場,34.3444163,134.8951863
イオン春日部店 携帯電話売場,35.9877584,139.7884323
イオンつくば店 携帯電話売場,36.0349817,140.1329673
イオン三田ウッディタウン店 携帯電話売場,34.9091024,135.1874893
イオン姫路リバーシティー店 携帯電話売場,34.7982989,134.668426
イオンスタイル水戸内原 携帯電話売場,36.3744863,140.358779
イオン姫路大津店 携帯電話売場,34.8065429,134.606699
イオン加古川店 携帯電話売場,34.74849,134.8612618
イオン下妻店 携帯電話売場,36.189117,139.99011
イオン小野店 携帯電話売場,34.8564123,134.9356536
イオンスタイル橿原 携帯電話売場,34.506854736,135.7633201405
イオン古河店 携帯電話売場,36.1971161,139.7198865
イオンスタイル佐野新都市 携帯電話売場,36.2991381,139.6062751
イオン大和郡山店 携帯電話売場,34.6521681,135.8018624
イオン桜井店 1F 家庭用品売り場レジ,34.5217614,135.8368961
イオン高の原店 携帯電話売場,34.7259716,135.7900001
イオン登美ケ丘店 携帯電話売場,34.7253183,135.7503768
イオンスタイル草津 携帯電話売場,34.997868,135.91321
イオンスタイル大津京 携帯電話売場,35.0244673,135.8602938
イオン高崎店 携帯電話売場,36.3903954,139.0067125
イオン近江八幡店 携帯電話売場,35.1216440174,136.1030783225
